t,<x^2>,Std Error of Mean,"F_s(q1,R(t))","F_s(q2,R(t))","F_s(q3,R(t))",StdErrorOfMeanRq1,StdErrorOfMeanRq2,StdErrorOfMeanRq3
215,201.593,12.5021,0.819216,-0.0195903,-0.0474559,0.0100822,0.0288586,0.0283502
216,201.773,12.6055,0.819264,-0.039692,0.0550472,0.0101362,0.0280595,0.0287112
217,202.327,12.6465,0.818851,0.00268246,-0.034961,0.0101893,0.028918,0.0289543
218,202.547,12.559,0.818469,-0.0170536,0.0408719,0.0101569,0.0293861,0.0291612
219,204.433,12.7522,0.817111,-0.018191,-0.0312385,0.0102537,0.0295281,0.0289133
220,204.173,12.6478,0.817147,0.0164658,0.021962,0.0102183,0.0279966,0.0292486
221,206.307,12.9061,0.815696,0.0323915,-0.016329,0.010338,0.0295199,0.0292143
222,206.187,12.8425,0.815687,0.00586693,0.0146817,0.0103247,0.0284117,0.0287621
223,207.64,12.9209,0.814498,0.0326188,-0.0269945,0.0103666,0.0290435,0.0288148
224,210.387,12.8724,0.811858,0.0326488,0.0254256,0.0103839,0.0286813,0.0289124
225,212.953,13.048,0.80986,0.0133485,-0.0390879,0.0104926,0.0285495,0.0286407
226,215.08,13.1967,0.808223,-0.0383948,0.041413,0.0105926,0.0291735,0.0286937
227,214.107,13.2948,0.80934,-0.0204392,-0.0471973,0.0106368,0.029351,0.0283346
228,218.36,13.5536,0.805974,-0.0208253,0.0476463,0.0107888,0.0291233,0.0282205
229,220.513,13.5655,0.804021,-0.0226649,-0.0481965,0.0108255,0.0290845,0.0280824
230,220.88,13.7243,0.804053,0.0272299,0.040332,0.0109227,0.0285946,0.0282874
231,221.733,13.5873,0.802964,0.0185915,-0.0313387,0.0108745,0.0291512,0.0281645
232,222.64,13.7039,0.802366,-0.00399445,0.0298117,0.0109048,0.029181,0.0285044
233,225.667,14.0031,0.800239,0.0430653,-0.0330533,0.0110479,0.0283767,0.0289233
234,226.413,14.1441,0.799871,0.051417,0.0344859,0.0111133,0.0287617,0.0289336
235,227.34,14.1788,0.799115,0.0444358,-0.0315699,0.0111617,0.0290136,0.0289502
236,226.227,14.2233,0.800238,0.000967569,0.0217572,0.0111637,0.0291224,0.0290573
237,226.933,14.1436,0.799396,-0.0284567,-0.0218743,0.0111252,0.0284053,0.0290582
238,227.32,14.2547,0.799256,-0.0017623,0.0254946,0.0111239,0.0292692,0.0286029
239,228.353,14.4452,0.798752,-0.00587536,-0.0285024,0.0112263,0.0290197,0.0283899
240,229.053,14.5784,0.798399,-0.0339659,0.0414021,0.0112626,0.0284476,0.0279856
241,228.467,14.605,0.798985,-0.043552,-0.03886,0.0112502,0.028825,0.0284368
242,229.04,14.6612,0.798586,-0.0599181,0.0311736,0.0112781,0.0291285,0.0286646
243,230.827,14.7072,0.797052,-0.0236255,-0.0324667,0.0113178,0.0286988,0.0286396
244,231.987,14.7393,0.796071,0.00603914,0.0388373,0.0113558,0.0290093,0.0292042
245,230.707,14.7274,0.797183,-0.00425229,-0.0384839,0.0112954,0.0287423,0.0287841
246,228.787,14.5423,0.798503,-0.0104899,0.0256423,0.0111857,0.0290807,0.0290818
